 PWM (µs), Force (N) at 14v, Force (N) at 16v, Force (N) at 18v
1100,,-39.9079290382407,-45.015966026416
1104,-34.295760678228,-39.72258662212399,-44.57114422773599
1108,-34.25127849835999,-39.455693542916,-44.43769768813199
1112,-33.850938879548,-38.877425204632,-43.903911529716
1116,-33.361634901,-38.25467468647999,-43.325643191432
1120,-32.91681310232,-37.943299427404,-42.658410493412
1124,-32.294062584168,-37.498477628724,-42.61392831354399
1128,-31.849240785488,-37.276066729384,-40.879123298692
1132,-31.270972447204,-36.786762750836,-41.012569838296
1136,-30.781668468656,-36.430905311892,-40.25637278054
1140,-30.381328849844,-35.852636973608,-39.58914008252
1144,-29.980989231032,-35.185404275588,-39.14431828383999
1148,-29.447203072616,-34.518171577568,-38.388121226084
1152,-28.824452554464,-33.850938879548,-37.854335067668
1156,-28.290666396048,-33.317152721132,-37.36503108912
1160,-27.934808957104,-32.47199130364,-36.430905311892
1164,-27.267576259084,-31.893722965356,-36.119530052816
1168,-27.089647539612,-31.404418986808,-34.874029016512
1172,-26.377932661724,-30.47029320958,-34.740582476908
1176,-25.933110863044,-29.80306051156,-33.58404580034
1180,-25.443806884496,-29.35823871288,-32.91681310232
1184,-24.776574186476,-28.824452554464,-32.02716950496
1188,-24.420716747532,-28.068255496708,-31.315454627072
1192,-24.064859308588,-27.667915877896,-30.336846669976
1196,-23.620037509908,-27.178611899348,-29.714096151824
1200,-23.041769171624,-26.555861381196,-29.002381273936
1204,-22.90832263202,-26.066557402648,-28.24618421618
1208,-22.152125574264,-25.310360344892,-27.890326777236
1212,-21.618339415848,-24.998985085816,-27.223094079216
1216,-21.35144633664,-24.598645467004,-26.46689702146
1220,-20.773177998356,-24.064859308588,-26.066557402648
1224,-20.150427480204,-23.3531444307,-25.35484252476
1228,-19.883534400996,-23.086251351492,-24.776574186476
1232,-19.483194782184,-22.330054293736,-24.287270207928
1236,-18.726997724428,-21.929714674924,-23.753484049512
1240,-18.549069004956,-21.529375056112,-23.175215711228
1244,-17.837354127068,-20.773177998356,-22.730393912548
1248,-17.303567968652,-20.417320559412,-22.107643394396
1252,-16.858746169972,-19.839052221128,-21.662821595716
1256,-16.502888731028,-19.394230422448,-21.173517617168
1260,-16.01358475248,-19.038372983504,-20.68421363862
1264,-15.479798594064,-18.23769374588,-20.0169809406
1268,-15.34635205446,-17.7928719472,-19.57215914192
1272,-14.90153025578,-17.303567968652,-19.038372983504
1276,-14.501190636968,-16.6808174505,-18.46010464522
1280,-14.145333198024,-16.369442191424,-17.7928719472
1284,-13.744993579212,-15.79117385314,-17.259085788784
1288,-13.433618320136,-15.257387694724,-16.858746169972
1292,-12.988796521456,-14.857048075912,-16.280477831688
1296,-12.588456902644,-14.590154996704,-15.79117385314
1300,-12.143635103964,-14.100851018156,-15.34635205446
1304,-11.698813305284,-13.700511399344,-14.90153025578
1308,-11.431920226076,-13.211207420796,-14.367744097364
1312,-11.031580607264,-12.766385622116,-13.967404478552
1316,-10.67572316832,-12.321563823436,-13.522582679872
1320,-10.319865729376,-11.78777766502,-13.033278701324
1324,-9.964008290431998,-11.387438046208,-12.499492542908
1328,-9.652633031356,-10.987098427396,-12.01018856436
1332,-9.34125777228,-10.809169707924,-11.520884585812
1336,-8.985400333335999,-10.319865729376,-11.120544967
1340,-8.67402507426,-10.0084904703,-10.631240988452
1344,-8.318167635316,-9.608150851487999,-10.275383549508
1348,-7.917828016503999,-9.252293412543999,-9.919526110564
1352,-7.517488397692,-8.851953793732,-9.519186491752
1356,-7.250595318484,-8.540578534656,-9.163329052808
1360,-6.89473787954,-8.051274556108,-8.762989433996
1364,-6.672326980199999,-7.695417117164,-8.407131995052
1368,-6.360951721124,-7.295077498352,-7.962310196371999
1372,-6.094058641916,-7.028184419143999,-7.561970577559999
1376,-5.738201202971999,-6.672326980199999,-7.250595318484
1380,-5.382343764028,-6.360951721124,-6.850255699671999
1384,-5.070968504952,-6.049576462047999,-6.583362620464
1388,-4.804075425743999,-5.693719023103999,-6.227505181519999
1392,-4.537182346535999,-5.293379404291999,-5.871647742575999
1396,-4.181324907592,-5.026486325084,-5.471308123764
1400,-3.914431828384,-4.715111066007999,-5.204415044556
1404,-3.647538749176,-4.359253627064,-4.848557605612
1408,-3.425127849836,-4.092360547856,-4.537182346535999
1412,-3.113752590759999,-3.78098528878,-4.22580708746
1416,-2.802377331684,-3.469610029704,-3.914431828384
1420,-2.535484252476,-3.158234770628,-3.603056569308
1424,-2.313073353136,-2.89134169142,-3.291681310232
1428,-2.046180273928,-2.535484252476,-2.980306051156
1432,-1.823769374588,-2.313073353136,-2.66893079208
1436,-1.601358475248,-2.046180273928,-2.357555533004
1440,-1.423429755776,-1.77928719472,-2.046180273928
1444,-1.201018856436,-1.467911935644,-1.77928719472
1448,-0.978607957096,-1.245501036304,-1.512394115512
1452,-0.8006792376240001,-1.023090136964,-1.245501036304
1456,-0.66723269802,-0.845161417492,-1.023090136964
1460,-0.44482179868,-0.66723269802,-0.7561970577559999
1464,-0.3113752590759999,-0.489303978548,-0.5782683382839999
1468,0.0,-0.355857438944,-0.44482179868
1472,0.0,0.0,0.0
1476,0.0,0.0,0.0
1480,0.0,0.0,0.0
1484,0.0,0.0,0.0
1488,0.0,0.0,0.0
1492,0.0,0.0,0.0
1496,0.0,0.0,0.0
1500,0.0,0.0,0.0
1504,0.0,0.0,0.0
1508,0.0,0.0,0.0
1512,0.0,0.0,0.0
1516,0.0,0.0,0.0
1520,0.0,0.0,0.0
1524,0.0,0.0,0.0
1528,0.0,0.0,0.0
1532,0.0,0.400339618812,0.44482179868
1536,0.44482179868,0.533786158416,0.66723269802
1540,0.6227505181519999,0.7561970577559999,0.88964359736
1544,0.8006792376240001,0.978607957096,1.201018856436
1548,0.978607957096,1.245501036304,1.467911935644
1552,1.201018856436,1.512394115512,1.77928719472
1556,1.423429755776,1.77928719472,2.090662453796
1560,1.734805014852,2.135144633664,2.44651989274
1564,1.957215914192,2.44651989274,2.802377331684
1568,2.2241089934,2.846859511552,3.113752590759999
1572,2.579966432344,3.158234770628,3.514092209572
1576,2.846859511552,3.514092209572,3.825467468648
1580,3.202716950496,3.914431828384,4.181324907592
1584,3.55857438944,4.270289267328,4.626146706271999
1588,3.869949648516,4.626146706271999,4.982004145215999
1592,4.181324907592,5.026486325084,5.382343764028
1596,4.537182346535999,5.471308123764,5.738201202971999
1600,4.893039785479999,5.916129922443999,6.138540821784
1604,5.204415044556,6.271987361388,6.538880440595999
1608,5.649236843236,6.672326980199999,6.850255699671999
1612,6.094058641916,7.072666599012,7.428524037956
1616,6.316469541256,7.606452757427999,7.873345836636
1620,6.761291339936,8.00679237624,8.22920327558
1624,7.11714877888,8.540578534656,8.629542894392
1628,7.517488397692,8.8964359736,8.985400333335999
1632,8.095756735976,9.296775592411999,9.474704311883999
1636,8.318167635316,9.741597391092,9.964008290431998
1640,8.718507254128,10.141937009904,10.542276628716
1644,9.029882513203999,10.764687528056,11.120544967
1648,9.474704311883999,11.209509326736,11.56536676568
1652,9.786079570959998,11.609848945548,12.01018856436
1656,10.319865729376,12.143635103964,12.543974722776
1660,10.720205348188,12.543974722776,12.944314341588
1664,11.209509326736,13.033278701324,13.56706485974
1668,11.78777766502,13.611547039608,13.967404478552
1672,12.099152924096,14.100851018156,14.590154996704
1676,12.543974722776,14.545672816836,15.079458975252
1680,12.988796521456,15.079458975252,15.657727313536
1684,13.389136140268,15.5687629538,16.45840655116
1688,13.78947575908,16.191513471952,17.081157069312
1692,14.323261917496,16.591853090764,17.525978867992
1696,14.812565896044,17.259085788784,18.059765026408
1700,15.212905514856,17.881836306936,18.815962084164
1704,15.746691673272,18.415622465352,19.34974824258
1708,16.191513471952,18.949408623768,19.972498760732
1712,16.769781810236,19.527676962052,20.417320559412
1716,17.259085788784,20.061463120468,21.306964156772
1720,17.7928719472,20.817660178224,21.751785955452
1724,18.148729386144,21.35144633664,22.374536473604
1728,18.726997724428,21.751785955452,23.175215711228
1732,19.260783882844,22.330054293736,23.842448409248
1736,19.661123501656,23.3531444307,24.554163287136
1740,20.46180273928,23.842448409248,25.35484252476
1744,20.773177998356,24.68760982674,25.933110863044
1748,21.173517617168,25.265878165024,26.91171882014
1752,22.01867903466,26.02207522278,27.401022798688
1756,22.241089934,26.778272280536,28.112737676576
1760,22.952804811888,27.045165359744,28.69100601486
1764,23.79796622938,27.845844597368,29.536167432352
1768,24.554163287136,28.335148575916,30.425811029712
1772,25.13243162542,29.180309993408,30.870632828392
1776,25.844146503308,29.936507051164,31.448901166676
1780,26.066557402648,30.47029320958,32.02716950496
1784,27.045165359744,31.093043727732,33.272670541264
1788,27.267576259084,31.537865526412,33.895421059416
1792,28.24618421618,32.383026943904,34.69610029704
1796,28.779970374596,33.094741821792,35.5857438944
1800,29.35823871288,33.53956362047199,36.51986967162799
1804,29.892024871296,34.42920721783199,37.187102369648
1808,30.69270410892,35.36333299506,38.47708558581999
1812,31.270972447204,36.119530052816,39.411211363048
1816,31.715794245884,36.653316211232,40.612230219484
1820,32.605437843244,37.453995448856,41.279462917504
1824,32.961295282188,38.121228146876,42.34703523433599
1828,33.53956362047199,38.788460844896,43.236678831696
1832,34.25127849835999,39.81155098186,44.482179868
1836,34.96299337624799,40.656712399352,45.77216308417199
1840,35.541261714532,41.72428471618399,46.03905616338
1844,36.164012232684,42.213588694732,47.684896818496
1848,36.964691470308,42.969785752488,48.218682976912
1852,37.631924168328,44.21528678879199,49.197290934008
1856,38.47708558581999,44.393215508264,50.220381070972
1860,39.055353924104,45.5942343647,51.065542488464
1864,39.50017572278399,46.172502702984,51.91070390595599
1868,40.300854960408,46.92869976074,52.800347503316
1872,40.745676759088,47.418003739288,53.91240200001599
1876,41.323945097372,48.352129516516,54.891009957112
1880,42.213588694732,49.15280875414,55.558242655132
1884,42.969785752488,49.775559272292,56.581332792096
1888,43.3701253713,50.442791970312,57.115118950512
1892,44.21528678879199,50.754167229388,57.8268338284
1896,44.393215508264,51.198989028068,58.671995245892
1900,44.3635607216853,51.4362273206973,58.9981978982573
